time,Open,High,Low,Close,Volume,spread,real_volume
2025-04-25 08:30:00,3301.548,3303.573,3297.847,3300.418,3072,159,0
2025-04-25 08:45:00,3300.418,3305.443,3300.333,3303.669,2736,159,0
2025-04-25 09:00:00,3303.704,3308.772,3303.646,3304.562,3248,159,0
2025-04-25 09:15:00,3304.547,3306.966,3301.252,3303.898,2963,159,0
2025-04-25 09:30:00,3303.816,3303.932,3298.148,3299.136,3068,159,0
2025-04-25 09:45:00,3299.163,3299.747,3292.03,3292.091,3013,159,0
2025-04-25 10:00:00,3292.066,3299.437,3291.982,3297.787,2501,159,0
2025-04-25 10:15:00,3297.856,3304.884,3295.773,3304.816,3010,160,0
2025-04-25 10:30:00,3304.845,3306.396,3301.241,3303.558,3079,159,0
2025-04-25 10:45:00,3303.569,3303.575,3297.878,3298.027,2834,159,0
2025-04-25 11:00:00,3298.019,3301.006,3296.959,3298.426,2337,160,0
2025-04-25 11:15:00,3298.425,3299.179,3294.358,3298.608,2807,159,0
2025-04-25 11:30:00,3298.614,3299.624,3288.262,3289.36,3016,159,0
2025-04-25 11:45:00,3289.335,3295.443,3287.911,3293.455,3390,160,0
2025-04-25 12:00:00,3293.426,3300.019,3292.827,3293.225,3641,159,0
2025-04-25 12:15:00,3293.181,3303.054,3291.059,3298.614,4414,159,0
2025-04-25 12:30:00,3298.643,3298.643,3291.806,3295.548,3608,159,0
2025-04-25 12:45:00,3295.542,3298.252,3292.405,3292.648,3211,159,0
2025-04-25 13:00:00,3292.644,3292.908,3276.769,3284.372,10240,159,0
2025-04-25 13:15:00,3284.405,3284.601,3268.256,3273.384,9512,159,0
2025-04-25 13:30:00,3273.409,3280.124,3265.063,3278.988,10939,159,0
2025-04-25 13:45:00,3278.955,3284.544,3277.573,3281.273,7463,159,0
2025-04-25 14:00:00,3281.123,3286.227,3275.463,3282.83,8052,159,0
2025-04-25 14:15:00,3282.791,3287.222,3277.593,3285.829,5284,159,0
2025-04-25 14:30:00,3285.875,3286.509,3280.0,3282.124,4229,159,0
2025-04-25 14:45:00,3282.154,3282.614,3274.602,3277.982,4213,159,0
2025-04-25 15:00:00,3278.007,3280.914,3271.145,3272.52,3539,159,0
2025-04-25 15:15:00,3272.559,3275.396,3270.133,3272.378,3334,159,0
2025-04-25 15:30:00,3272.359,3280.185,3271.996,3279.99,3331,159,0
2025-04-25 15:45:00,3279.958,3285.475,3278.28,3282.883,3052,159,0
2025-04-25 16:00:00,3282.882,3285.74,3281.357,3283.868,2276,159,0
2025-04-25 16:15:00,3283.911,3284.275,3281.391,3283.345,2028,160,0
2025-04-25 16:30:00,3283.264,3285.642,3280.398,3280.854,2029,159,0
2025-04-25 16:45:00,3280.882,3287.517,3280.359,3285.328,2117,159,0
2025-04-25 17:00:00,3285.368,3288.505,3281.848,3287.819,2757,159,0
